regis_id_year1,PROJ_THAI_NAME,PROJ_ABBR_NAME,COMP_THAI_NAME,PROJ_RETAIL_TYPE,POLICY_THAI_DESC,SPEC_GR_DESC,policyspec_desc,current_rmf_pvd_type,management_style_th,fund_compare,MUTUAL_INV_TYPE,INVEST_COUNTRY_FLAG,REDEMP_PERIOD,proj_term_th,SUPERVISOR_NAME,APPR_DATE,REGIS_DATE,nav_rmf_pvd,nav,invsest_own_fund_value
002/2535,กองทุนเปิดเค หุ้นทุน,K-EQUITY,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร ซิตี้แบงก์ เอ็น. เอ.,13/05/2535,14/07/2535,-,"3,171.75",-
004/2535,กองทุนเปิด ทิสโก้ หุ้นทุนไทย,TISCOEQF,บริษัทหลักทรัพย์จัดการกองทุน ทิสโก้,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร ไทยพาณิชย์ จำกัด (มหาชน),19/06/2535,30/07/2535,-,77.68,-
005/2535,กองทุนเปิดเอกทวีคูณ ,ONE-G,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),24/06/2535,31/07/2535,-,74.14,-
008/2535,กองทุนเปิดธนชาตเพิ่มพูนทรัพย์ปันผล,T-PPSD,บริษัทหลักทรัพย์จัดการกองทุน อีสท์สปริง (ประเทศไทย) จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบมีความเสี่ยงทั้งในและต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),6/7/2535,18/08/2535,-,749.06,-
018/2535,กองทุนเปิด ทิสโก้ ทวีทุน,TISCOEGF,บริษัทหลักทรัพย์จัดการกองทุน ทิสโก้,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร ไทยพาณิชย์ จำกัด (มหาชน),29/10/2535,15/12/2535,-,530.48,-
019/2535,กองทุนเปิดธนชาตเสถียรทรัพย์ปันผล,T-STSD,บริษัทหลักทรัพย์จัดการกองทุน อีสท์สปริง (ประเทศไทย) จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ผสม (กำหนดสัดส่วนการลงทุนในตราสารทุน; ไม่กำหนดสัดส่วนการลงทุนในตราสารหนี้),,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),"Moderate Allocation
",ลงทุนโดยตรง,กองทุนที่ลงทุนแบบมีความเสี่ยงทั้งในและต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),28/10/2535,18/12/2535,-,307.98,-
909/2535,กองทุนทรัพย์สมบูรณ์,SSB,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),กองทุนเพื่อผู้ลงทุนทั่วไป,ผสมแบบไม่กำหนดสัดส่วนการลงทุนในตราสารแห่งทุน,อื่น ๆ,,,,,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร ไทยพาณิชย์ จำกัด (มหาชน),12/11/2528,1/1/2535,-,33.25,-
001/2536,กองทุนเปิดรุ่งโรจน์หนึ่ง,RRF1,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน (Cross Investing Fund),,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กรุงไทย จำกัด (มหาชน),14/10/2535,2/2/2536,-,39.72,-
011/2536,กองทุนเปิด ไซรัส โมเมนตัม ฟันด์ ,SYRUS-M,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),17/09/2536,20/10/2536,-,45.15,-
014/2536, กองทุนเปิดบัวแก้ว,BKA,บริษัทหลักทรัพย์จัดการกองทุนรวม  บัวหลวง จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),18/10/2536,3/11/2536,-,"2,750.65",-
